Portuguese,English
que,what
a,The
o,The
não,not
de,in
é,It is
e,and
um,a
para,for
eu,I
uma,an
está,it is
com,with
se,if
do,of
por,per
os,you
ele,him
mas,but
em,in
bem,well
isso,that
da,gives
como,as
sim,Yes
as,at
no,at the
mais,more
na,at
meu,mine
aqui,on here
me,me
muito,much
foi,was
ela,Is it over there
isto,this
estou,I am
fazer,do
vamos,we will
já,already
ser,to be
vai,go
à,The
minha,mine
só,only
ao,to
tem,he has
tudo,everything
te,you
porque,why
há,there is
tenho,have
vou,I will
tu,you
sei,know
quando,When
agora,now
estás,these
você,you
lá,there
então,then
ter,to have
era,was
quem,who
onde,Where
nada,nothing
ou,or
coisa,thing
dizer,to say
são,they are
quero,I want
estava,was
sou,I am
seu,your
pode,he can
mesmo,same
esta,it is
eles,they
nós,we
sua,your
dos,From
todos,all
nos,us
mim,me
posso,can I
bom,Good
ver,to see
este,This one
casa,House
temos,we have
tens,tens
tua,your
nunca,Never
estão,they are
até,until
assim,so
teu,your
acho,I think
falar,speak
disse,said
ainda,still
tempo,time
também,also
ir,go
pai,father
sobre,about
vez,turn
quê,what
quer,would you like
és,is
favor,favor
depois,after
tão,so
melhor,best
mãe,mom
talvez,perhaps
olá,Hello
obrigado,thanks
noite,night
ti,you
sabes,sake
sempre,ever
deus,God
estamos,we are
alguém,somebody
dia,day
certo,right
nem,nor
alguma,some
vida,life
anos,years old
dele,his
sem,without
vais,vais
das,of
tinha,he had
estar,be
queres,want
coisas,things
homem,men
pessoas,people
algo,something
pelo,fur
ficar,stay
boa,Good
sabe,You know
parece,looks
claro,clear
dois,two
verdade,truth
tipo,type
preciso,I need
antes,before
senhor,Mr
lhe,him
podes,you can
apenas,only
sr.,mr.
faz,does
vocês,you guys
ninguém,nobody
trabalho,work
outra,other
espera,wait
saber,know
comigo,with me
vão,they go
dinheiro,cash
aí,there
podemos,we can
pouco,little bit
essa,That
esse,that
grande,big
pois,because
pela,through the
qualquer,any
disso,from that
num,on one
qual,which
desculpa,excuse
dela,her
hoje,today
toda,all
deve,he must
mulher,women
queria,I wanted
fora,outside
filho,son
cá,here
seja,it is
meus,my
nosso,our
olha,look
vá,go
daqui,from here
sério,for real
oh,Oh
nossa,Wow
certeza,assurance
diz,it says
nome,Name
às,at
outro,other
todo,all
dar,to give
tentar,try
sair,leave
têm,he has
quanto,how much
pensar,think
mal,bad
volta,return
aconteceu,it happened
consigo,I can
três,three
mundo,world
menos,any less
amigo,friend
contigo,with you
embora,although
numa,in
passa,goes by
porquê,why
problema,problem
carro,car
lado,side
vezes,times
nas,in the
fez,he did
seus,your
novo,new
merda,Shit
parte,part
todas,all
aos,to the
obrigada,Thanks
primeiro,first
será,it will be
lugar,place
voltar,come back
pensei,I thought
algum,some
achas,you
vem,comes
dentro,inside
família,family
ali,there
razão,reason
aquele,that one
dias,days
fui,I went
anda,ride
querida,Honey
sabia,you knew
duas,two
ideia,idea
hora,hour
si,si
